year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1994,1,bird,CLGR,Aechmophorus clarkii,Clark's Grebe,554027,CLGR: Clark's Grebe (Aechmophorus clarkii; ITIS: 554027),NA,U,3,NA,0,1
1994,1,bird,COLO,Gavia immer,Common Loon,174469,COLO: Common Loon (Gavia immer; ITIS: 174469),NA,U,3,NA,0,1
1994,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,0,NA,0,2
1994,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,2,NA,0,7
1994,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,3,NA,0,11
1994,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,4,NA,0,10
1994,1,bird,CORA,Corvus corax,Common Raven,179725,CORA: Common Raven (Corvus corax; ITIS: 179725),NA,U,4,NA,0,1
1994,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,2,NA,0,1
1994,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,3,NA,0,2
1994,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,4,NA,0,4
1994,1,bird,DCCO,Phalacrocorax auritus,Double-crested Cormorant,174717,DCCO: Double-crested Cormorant (Phalacrocorax auritus; ITIS: 174717),NA,U,3,NA,0,1
1994,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,0,NA,0,1
1994,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,2,NA,0,2
1994,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,3,NA,0,6
1994,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,4,NA,0,10
1994,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,M,2,NA,0,1
1994,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,2,NA,0,1
1994,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,3,NA,0,4
