species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Oceanodroma furcata,Fork-tailed Storm-Petrel,174625,FTSP,NA,FTSP: Fork-tailed Storm-Petrel (Oceanodroma furcata; ITIS: 174625),bird,30
Anas strepera,Gadwall,175073,GADW,NA,GADW: Gadwall (Anas strepera; ITIS: 175073),bird,5
Ardea herodias,Great Blue Heron,174773,GBHE,NA,GBHE: Great Blue Heron (Ardea herodias; ITIS: 174773),bird,5
Zonotrichia atricapilla,Golden-crowned Sparrow,179461,GCSP,NA,GCSP: Golden-crowned Sparrow (Zonotrichia atricapilla; ITIS: 179461),bird,1
Bubo virginianus,Great Horned Owl,177884,GHOW,NA,GHOW: Great Horned Owl (Bubo virginianus; ITIS: 177884),bird,5
Larus hyperboreus,Glaucous Gull,176808,GLGU,NA,GLGU: Glaucous Gull (Larus hyperboreus; ITIS: 176808),bird,39
Podicipedidae (gen sp),Grebe (unidentified),174477,GREB,NA,GREB: Grebe (unidentified) (Podicipedidae (gen sp); ITIS: 174477),bird,108
NA,Unidentified Grebe,174477,GREB,NA,GREB: Unidentified Grebe (NA; ITIS: 174477),bird,1084
Ardea alba,Great Egret,554135,GREG,NA,GREG: Great Egret (Ardea alba; ITIS: 554135),bird,6
Butorides virescens,Green Heron,174793,GRHE,NA,GRHE: Green Heron (Butorides virescens; ITIS: 174793),bird,1
Aythya marila,Greater Scaup,175130,GRSC,NA,GRSC: Greater Scaup (Aythya marila; ITIS: 175130),bird,40
Tringa melanoleuca,Greater Yellowlegs,176619,GRYE,NA,GRYE: Greater Yellowlegs (Tringa melanoleuca; ITIS: 176619),bird,1
Larus (sp),Gull (unidentified),176803,GULL,NA,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),bird,529
NA,Unidentified Gull,716802,GULL,NA,GULL: Unidentified Gull (NA; ITIS: 716802),bird,3694
Anser albifrons,Greater White-fronted Goose,175020,GWFG,NA,GWFG: Greater White-fronted Goose (Anser albifrons; ITIS: 175020),bird,6
Larus glaucescens,Glaucous-winged Gull,176814,GWGU,NA,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),bird,1993
Larus heermanni,Heermann's Gull,176841,HEEG,NA,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),bird,734
Larus argentatus,Herring Gull,176824,HERG,NA,HERG: Herring Gull (Larus argentatus; ITIS: 176824),bird,314
Catharus guttatus,Hermit Thrush,179779,HETH,NA,HETH: Hermit Thrush (Catharus guttatus; ITIS: 179779),bird,1
Larus argetatus x glaucescens,Herring x Glaucous-winged Hybrid,174371,HGWH,NA,HGWH: Herring x Glaucous-winged Hybrid (Larus argetatus x glaucescens; ITIS: 174371),bird,8
Podiceps auritus,Horned Grebe,174482,HOGR,NA,HOGR: Horned Grebe (Podiceps auritus; ITIS: 174482),bird,240
Lophodytes cucullatus,Hooded Merganser,175183,HOME,NA,HOME: Hooded Merganser (Lophodytes cucullatus; ITIS: 175183),bird,2
Fratercula corniculata,Horned Puffin,177029,HOPU,NA,HOPU: Horned Puffin (Fratercula corniculata; ITIS: 177029),bird,93
Somateria spectabilis,King Eider,175160,KIEI,NA,KIEI: King Eider (Somateria spectabilis; ITIS: 175160),bird,1
Phoebastria immutabilis,Laysan Albatross,554378,LAAL,NA,LAAL: Laysan Albatross (Phoebastria immutabilis; ITIS: 554378),bird,11
Leucophaeus atricilla,Laughing Gull,824079,LAGU,NA,LAGU: Laughing Gull (Leucophaeus atricilla; ITIS: 824079),bird,1
"Aves (gen, sp)",Bird (unidentified / non marine),178265,LAND,NA,"LAND: Bird (unidentified / non marine) (Aves (gen, sp); ITIS: 178265)",bird,5
Numenius americanus,Long-billed Curlew,176593,LBCU,NA,LBCU: Long-billed Curlew (Numenius americanus; ITIS: 176593),bird,3
Asio otus,Long-eared Owl,177932,LEOW,NA,LEOW: Long-eared Owl (Asio otus; ITIS: 177932),bird,1
Calidris minutilla,Least Sandpiper,176656,LESA,NA,LESA: Least Sandpiper (Calidris minutilla; ITIS: 176656),bird,3
Aythya affinis,Lesser Scaup,175134,LESC,NA,LESC: Lesser Scaup (Aythya affinis; ITIS: 175134),bird,22
Oceanodroma leucorhoa,Leach's Storm-petrel,174628,LHSP,NA,LHSP: Leach's Storm-petrel (Oceanodroma leucorhoa; ITIS: 174628),bird,2
Oceanodroma leucorhoa,Leach's Storm-Petrel,174628,LHSP,NA,LHSP: Leach's Storm-Petrel (Oceanodroma leucorhoa; ITIS: 174628),bird,7
Gavia (sp),Loon (unidentified),174468,LOON,NA,LOON: Loon (unidentified) (Gavia (sp); ITIS: 174468),bird,39
NA,Unidentified Loon,174467,LOON,NA,LOON: Unidentified Loon (NA; ITIS: 174467),bird,337
Clangula hyemalis,Long-tailed Duck,175147,LTDU,NA,LTDU: Long-tailed Duck (Clangula hyemalis; ITIS: 175147),bird,1
